ZIP Code,Territory,TNT,UDS Zone
47906,Griffith,1 Day ,5
60940,Griffith,1 Day ,5
60432,Griffith,1 Day ,5
47907,Griffith,1 Day ,5
47948,Griffith,1 Day ,5
60433,Griffith,1 Day ,5
60435,Griffith,1 Day ,5
60586,Griffith,1 Day ,5
60442,Griffith,1 Day ,5
60436,Griffith,1 Day ,5
60954,Griffith,1 Day ,5
60958,Griffith,1 Day ,5
60431,Griffith,1 Day ,5
60404,Griffith,1 Day ,5
60544,Griffith,1 Day ,5
47951,Griffith,1 Day ,5
47963,Griffith,1 Day ,5
60964,Griffith,1 Day ,5
60912,Griffith,1 Day ,5
60931,Griffith,1 Day ,5
60914,Griffith,1 Day ,5
60915,Griffith,1 Day ,5
60950,Griffith,1 Day ,5
47971,Griffith,1 Day ,5
47942,Griffith,1 Day ,5
47970,Griffith,1 Day ,5
60966,Griffith,1 Day ,5
60927,Griffith,1 Day ,5
47944,Griffith,1 Day ,5
47918,Griffith,1 Day ,5
60901,Griffith,1 Day ,5
60951,Griffith,1 Day ,5
60913,Griffith,1 Day ,5
60911,Griffith,1 Day ,5
60922,Griffith,1 Day ,5
47917,Griffith,1 Day ,5
60970,Griffith,1 Day ,5
60942,Griffith,1 Day ,5
60928,Griffith,1 Day ,5
60941,Griffith,1 Day ,5
60973,Griffith,1 Day ,5
60917,Griffith,1 Day ,5
60919,Griffith,1 Day ,5
60953,Griffith,1 Day ,5
60938,Griffith,1 Day ,5
60955,Griffith,1 Day ,5
60930,Griffith,1 Day ,5
61811,Griffith,1 Day ,5
61814,Griffith,1 Day ,5
47932,Griffith,1 Day ,5
60963,Griffith,1 Day ,5
60968,Griffith,1 Day ,5
60924,Griffith,1 Day ,5
60929,Griffith,1 Day ,5
60948,Griffith,1 Day ,5
60959,Griffith,1 Day ,5
61865,Griffith,1 Day ,5
61834,Griffith,1 Day ,5
61833,Griffith,1 Day ,5
60960,Griffith,1 Day ,5
60918,Griffith,1 Day ,5
61832,Griffith,1 Day ,5
60962,Griffith,1 Day ,5
61831,Griffith,1 Day ,5
61883,Griffith,1 Day ,5
61858,Griffith,1 Day ,5
60921,Griffith,1 Day ,5
61862,Griffith,1 Day ,5
60952,Griffith,1 Day ,5
61812,Griffith,1 Day ,5
61817,Griffith,1 Day ,5
60949,Griffith,1 Day ,5
61844,Griffith,1 Day ,5
61847,Griffith,1 Day ,5
60957,Griffith,1 Day ,5
60936,Griffith,1 Day ,5
61873,Griffith,1 Day ,5
